# harbour-strokecat 5-stroke dictionary
# format: <char>	<code>	<freq>
# code: 1=横 2=竖 3=撇 4=捺(含点) 5=折(含勾)
# sources: RIME stroke.dict.yaml + jieba freq
傷	3231251113533	7363
伤	323153	7363
架	532511234	7352
归	23511	7299
歸	325151212151145252	7299
退	511534454	7280
遊	415331521454	7272
游	444415331551	7272
实	44544134	7258
實	44555212511134	7258
差	431113121	7254
姓	53131121	7240
朱	311234	7218
网	253434	7209
網	55444425431415	7209
皮	53254	7184
刺	12523425	7172
睡	2511131212211	7171
选	312135454	7132
選	515515122134454	7132
科	312344412	7098
關	2511251155455453212	7068
关	341134	7068
化	3235	7067
浜	4413212134	7066
骂	251251551	7047
罵	252211211254444	7047
底	41335154	7005
銆	34112431132511	6982
院	524451135	6957
含	3445251	6950
洞	441251251	6944
机	123435	6937
機	1234554554134534	6937
色	355215	6908
阿	5212512	6905
装	412121413534	6904
裝	5213121413534	6904
理	11212511211	6890
駐	121125444441121	6848
驻	55141121	6848
產	41341331121	6838
产	414313	6838
铺	311151351124	6811
鋪	341124311251124	6811
領	34154132511134	6800
领	34454132534	6800
塊	121325113554	6749
块	1215134	6749
怎	312114544	6736
封	121121154	6721
談	411125143344334	6712
谈	4543344334	6712
諸	411125112132511	6711
诸	4512132511	6711
覺	34343211511452511135	6705
觉	443452535	6705
團	25125112141541	6703
团	251531	6703
肉	253434	6683
期	122111343511	6681
島	3251115252	6677
岛	3545252	6677
代	32154	6666
短	311341251431	6662
舊	12232411121321511	6655
旧	22511	6655
嘴	2512121153535121	6654
挂	121121121	6653
掛	12112112124	6653
留	3545325121	6648
民	51515	6640
敌	3122513134	6610
敵	414325122513134	6610
京	41251234	6583
詩	4111251121124	6567
诗	45121124	6567
愿	13325112344544	6538
願	1332511534132511134	6538
墓	1222511134121	6535
世	12215	6523
舉	3211152511134112	6506
举	443134112	6506
殿	5131221343554	6506
幫	12112115432511252	6493
帮	311352252	6493
抓	1213324	6491
换	1213525134	6483
換	121352534134	6483
件	323112	6482
求	1241344	6465
脚	35411215452	6457
腳	3544343425152	6457
房	33514153	6407
殑	13541225135	6399
宫	445251251	6360
宮	4452513251	6360
云	1154	6353
雲	145244341154	6353
食	344511534	6350
错	3111512212511	6340
錯	3411243112212511	6340
牛	3112	6339
拜	311311112	6338
飯	344511543354	6331
饭	3553354	6331
推	12132411121	6324
状	4121344	6316
狀	52131344	6316
复	312511354	6297
復	332312511354	6297
句	35251	6294
克	1225135	6270
救	12413443134	6268
樓	123425112512531	6245
楼	1234431234531	6245
勝	351143113453	6242
胜	354431121	6242
具	25111134	6228
鬥	2112111212	6215
斗	4412	6215
层	5131154	6209
層	513432524312511	6209
集	324111211234	6174
著	12212132511	6171
片	3215	6168
奔	13412132	6140
章	41431251112	6128
屆	51312152	6120
届	51325121	6120
木	1234	6114
怪	44254121	6097
江	444121	6083
抱	12135515	6044
职	12211125134	6037
職	122111414312511534	6037
拍	15132511	6035
交	413434	6026
表	11213534	6017
降	52354152	6014
