# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
雅静	ahge	391218
雅正	ahgh	227383
雅丽	ahgm	694065
工具理性	ahgn	102272
邪恶	ahgo	22837647
雅虎	ahhw	96017411
牙齿	ahhw	5878211
牙龈	ahhw	1191529
邪淫	ahie	867830
雅洁	ahif	655341
雅兴	ahig	870809
雅淡	ahio	91549
雅量	ahjg	429943
雅号	ahkg	939322
邪路	ahkh	249228
牙口	ahkk	288945
卧车	ahlg	139011
雅思	ahln	10823058
卧轨	ahlv	351501
雅典	ahma	12014588
牙雕	ahmf	329656
臣民	ahna	1122023
牙刷	ahnm	4279576
工具书	ahnn	8330776
工具类	ahod	1370258
卧底	ahoq	3326352
卧床	ahos	1966023
牙床	ahos	668249
雅座	ahow	708960
卧室	ahpg	33362823
匪军	ahpl	172771
雅安	ahpv	3147623
工具包	ahqn	2422776
卧铺	ahqs	1529129
牙白	ahrr	144969
邪气	ahrt	1727717
熙攘	ahry	539167
雅相	ahsh	49150
卧榻	ahsj	263129
雅歌	ahsk	825134
工具栏	ahsu	13404705
牙根	ahsv	1042588
邪术	ahsy	434908
匪徒	ahtf	1727717
鸦片	ahth	2998682
雅各	ahtk	2025600
卧射	ahtm	51732
雅乐	ahtn	584842
工具箱	ahts	20951058
牙科	ahtu	3266776
牙签	ahtw	1787294
牙痛	ahuc	1539058
牙关	ahud	1827011
卧病	ahug	662291
节目单	ahuj	1638352
切齿痛恨	ahun	107237
卧姿	ahuq	329656
邪道	ahut	1966023
匪首	ahut	728818
邪门	ahuy	1241176
臣僚	ahwd	213482
牙祭	ahwf	106244
七上八下	ahwg	946272
雅人	ahww	1131952
邪念	ahwy	1141882
牙线	ahxg	422992
牙缝	ahxt	881731
卧房	ahyn	1529129
牙膏	ahyp	5282447
邪说	ahyu	582856
雅言	ahyy	219440
范式	aiaa	937336
菠菜	aiae	4815764
东东	aiai	31476235
茫茫	aiai	17177882
落落	aiai	7327905
薄薄	aiai	4875341
落幕	aiaj	7655576
薄暮	aiaj	473632
菠萝	aial	13504000
落英	aiam	1489411
东莞	aiap	53817411
东芝	aiap	15291294
东营	aiap	8906682
东欧	aiar	5272517
薄荷	aiaw	8330776
落花	aiaw	6642776
勤学苦练	aiax	401148
落荒	aiay	1578776
萍聚	aibc	1320611
东陵	aibf	1300752
落聘	aibm	198588
医学院	aibp	10028705
工学院	aibp	5917929
莫泊桑	aicc	372352
落马	aicg	2333411
落汤鸡	aicq	142983
落难	aicw	1191529
荣誉感	aidg	1300752
落在	aidh	22043294
敬酒不吃吃罚酒	aidi	34455
东面	aidl	2323482
落成	aidn	5143435
黄雀在后	aidr	364409
落雁	aidw	1201458
薄膜	aiea	16780705
落脚	aief	4110776
东边	aiep	3634164
薄脆	aieq	191637
落地	aifb	15192000
东坡	aifb	4110776
东去	aifc	859887
东城	aifd	7208752
苦海无边	aife	282988
落款	aiff	1509270
鸦雀无声	aiff	886696
落雨	aifg	1539058
荡起	aifh	1261035
东进	aifj	1151811
落进	aifj	1082305
东南	aifm	28000941
落霞	aifn	1012800
荒淫无度	aifo	167807
薄雾	aift	1558917
蒙混过关	aifu	916484
薄型	aiga	7625788
落到	aigc	11518117
藩王	aigg	120145
落下	aigh	20454588
东丽	aigm	2829882
东亚	aigo	10525176
东晋	aigo	2075247
荡平	aigu	371360
东夷	aigx	352494
东非	aihd	533209
落点	aihk	1012800
