# wubi phrase dictionary
# format: phrase	code	freq
蒜头	afud	1
甘美	afug	1
邯郸	afuj	1
某次	afuq	1
蒜瓣	afur	1
革新	afus	1
鞭痕	afuv	1
茫无头绪	afux	1
甘肃	afvi	1
芜杂	afvs	1
某女	afvv	1
七零八落	afwa	1
劳动保险	afwb	1
七零八碎	afwd	1
世博会	afwf	1
七老八十	afwf	1
革命	afwg	1
某个	afwh	1
荒无人烟	afwo	1
某件	afwr	1
甘休	afws	1
著作	afwt	1
某位	afwu	1
某人	afww	1
勒令	afwy	1
莎士比亚	afxg	1
菱纱	afxi	1
蕾丝	afxx	1
劳动强度	afxy	1
苇席	afya	1
黄土高原	afyd	1
鞋店	afyh	1
甘为	afyl	1
鞋底	afyq	1
或者说	afyu	1
著文	afyy	1
花开花落	agaa	1
芋艿	agae	1
莱芜	agaf	1
七七	agag	1
莱茵	agal	1
七区	agaq	1
巧匠	agar	1
茉莉	agat	1
莱切	agav	1
葬花	agaw	1
甚于防川	agbk	1
巧劲	agca	1
世事难料	agco	1
七雄	agdc	1
七大	agdd	1
匡威	agdg	1
邪不压正	agdg	1
七百	agdj	1
七万	agdn	1
艺不压身	agdt	1
芒刺在背	agdu	1
七月	agee	1
七彩	ages	1
巧用	aget	1
颟顸	agfd	1
七十	agfg	1
惹不起	agfh	1
匡救	agfi	1
七喜	agfk	1
东正教	agft	1
苦不堪言	agfy	1
范玮琪	agga	1
七天	aggd	1
七一	aggg	1
匡正	aggh	1
巧事	aggk	1
荆棘	aggm	1
划不来	aggo	1
黄玫瑰	aggr	1
七班	aggy	1
七点	aghk	1
花天酒地	agif	1
巧学	agip	1
七海	agit	1
莫不是	agjg	1
莱曼	agjl	1
巧遇	agjm	1
苹果	agjs	1
七星	agjt	1
七号	agkg	1
莱恩	agld	1
共青团	aglf	1
萧亚轩	aglf	1
共青团员	aglk	1
莆田	agll	1
巧思	agln	1
荆轲	agls	1
七层	agnf	1
七情	agng	1
戈壁	agnk	1
七届	agnm	1
莱塞	agpf	1
七宝	agpg	1
花开富贵	agpk	1
七窍	agpw	1
葬礼	agpy	1
七色	agqc	1
苛政猛于虎	agqh	1
戈尔	agqi	1
莱钢	agqm	1
七夕	agqt	1
匡扶	agrf	1
七年	agrh	1
匪夷所思	agrl	1
七折	agrr	1
巧手	agrt	1
熙来攘往	agrt	1
莱西	agsg	1
功不可没	agsi	1
切不可	agsk	1
七楼	agso	1
荆楚	agss	1
擎天柱	agsy	1
董事长	agta	1
功到自然成	agtd	1
七千	agtf	1
匡复	agtj	1
七种	agtk	1
葬身	agtm	1
匡衡	agtq	1
莱特	agtr	1
荆条	agts	1
七律	agtv	1
药到病除	agub	1
葬送	agud	1
七次	aguq	1
荆门	aguy	1
巧妙	agvi	1
七青八黄	agwa	1
董事会	agwf	1
巧合	agwg	1
七个	agwh	1
七八	agwt	1
七位	agwu	1
七分	agwv	1
荆棘谷	agww	1
菁华	agwx	1
葬仪	agwy	1
七组	agxe	1
七绝	agxq	1
巧计	agyf	1
荆州	agyt	1
区政府	agyw	1
巧言	agyy	1
卧式	ahaa	1
卧虎藏龙	ahad	1
苜蓿	ahap	1
雅苑	ahaq	1
牙医	ahat	1
雅芳	ahay	1
臣子	ahbb	1
雅观	ahcm	1
牙套	ahdd	1
牙石	ahdg	1
牙慧	ahdh	1
苫布	ahdm	1
颐达	ahdp	1
雅克	ahdq	1
卧龙	ahdx	1
臣服	aheb	1
卧地	ahfb	1
雅士	ahfg	1
雅皮士	ahfg	1
雅趣	ahfh	1
牙垢	ahfr	1
邪教	ahft	1
雅培	ahfu	1
雅顿	ahgb	1
雅致	ahgc	1
雅静	ahge	1
雅正	ahgh	1
雅丽	ahgm	1
邪恶	ahgo	1
邪毒	ahgx	1
雅虎	ahha	1
欺上瞒下	ahhg	1
牙齿	ahhw	1
牙龈	ahhw	1
牙尖	ahid	1
邪淫	ahie	1
雅洁	ahif	1
雅兴	ahiw	1
雅量	ahjg	1
雅号	ahkg	1
邪路	ahkh	1
牙口	ahkk	1
卧车	ahlg	1
雅思	ahln	1
卧轨	ahlv	1
雅典	ahma	1
牙雕	ahmf	1
欺上罔下	ahmg	1
臣民	ahna	1
牙刷	ahnm	1
工具书	ahnn	1
牙粉	ahow	1
七步之才	ahpf	1
卧室	ahpg	1
雅安	ahpv	1
邪神	ahpy	1
卧铺	ahqg	1
雅乐	ahqi	1
斯皮尔伯格	ahqs	1
邪气	ahrn	1
熙攘	ahry	1
卧榻	ahsj	1
雅歌	ahsk	1
工具栏	ahsu	1
牙根	ahsv	1
邪术	ahsy	1
基督徒	ahtf	1
鸦片	ahth	1
熙和	ahtk	1
卧射	ahtm	1
工具箱	ahts	1
牙科	ahtu	1
牙签	ahtw	1
牙痛	ahuc	1
牙关	ahud	1
卧病	ahug	1
节目单	ahuj	1
雅意	ahuj	1
项目部	ahuk	1
切齿痛恨	ahun	1
卧姿	ahuq	1
邪道	ahut	1
臣妾	ahuv	1
邪门	ahuy	1
邪灵	ahvo	1
臣僚	ahwd	1
牙祭	ahwf	1
七上八下	ahwg	1
某些人	ahww	1
邪念	ahwy	1
项目组	ahxe	1
牙线	ahxg	1
牙缝	ahxt	1
莫此为甚	ahya	1
卧房	ahyn	1
牙膏	ahyp	1
卧底	ahyq	1
卧床	ahys	1
牙床	ahys	1
邪说	ahyu	1
雅座	ahyw	1
雅言	ahyy	1
范式	aiaa	1
菠菜	aiae	1
薄葬	aiag	1
东东	aiai	1
落落	aiai	1
萍萍	aiai	1
落幕	aiaj	1
菠萝	aial	1
落英	aiam	1
东莞	aiap	1
东芝	aiap	1
东营	aiap	1
东欧	aiaq	1
薄荷	aiaw	1
落花	aiaw	1
勤学苦练	aiax	1
落荒	aiay	1
萍聚	aibc	1
东陵	aibf	1
东阳	aibj	1
落聘	aibm	1
医学院	aibp	1
莫泊桑	aicc	1
落马	aicn	1
落汤鸡	aicq	1
落难	aicw	1
落套	aidd	1
荣誉感	aidg	1
落在	aidh	1
东非	aidj	1
东面	aidm	1
落成	aidn	1
黄雀在后	aidr	1
东邦	aidt	1
落雁	aidw	1
薄膜	aiea	1
东鹏	aiee	1
落脚	aief	1
薄脆	aieq	1
东胜	aiet	1
东塔	aifa	1
落地	aifb	1
东城	aifd	1
落款	aiff	1
落雨	aifg	1
荡起	aifh	1
落进	aifj	1
苦海无边	aifl	1
东南	aifm	1
落霞	aifn	1
薄雾	aift	1
蒙混过关	aifu	1
落雪	aifv	1
荒淫无度	aify	1
薄型	aiga	1
落到	aigc	1
藩王	aigg	1
落下	aigh	1
敬酒不吃吃罚酒	aigi	1
东亚	aigo	1
东晋	aigo	1
黄粱一梦	aigs	1
荡平	aigu	1
落点	aihk	1
落满	aiia	1
东江	aiia	1
蓄水池	aiib	1
东汉	aiic	1
菏泽	aiic	1
东湖	aiid	1
落潮	aiif	1
落泪	aiih	1
落水	aiii	1
东光	aiiq	1
落泊	aiir	1
薄酒	aiis	1
东海	aiit	1
荡漾	aiiu	1
东洋	aiiu	1
黄澄澄	aiiw	1
东瀛	aiiy	1
东盟	aije	1
东里	aijf	1
落日	aijj	1
落果	aijs	1
东临	aijt	1
落照	aijv	1
