# wubi char dictionary (converted from rime)
# format: char	code	freq
蓉	apw	17177882
葖	apwd	60569
䓖	apwe	16383
	apwe	1
䕓	apwi	6950
蓿	apwj	311783
茓	apwu	25518
藭	apwx	40809
蒮	apwy	25717
䒮	apwy	3812
萦	apx	1866729
䔃	apyg	5024
䕐	apyl	5917
䔗	apyu	3624
匹	aq	33859294
芪	aqa	628531
䣟	aqab	3246
鬵	aqah	38426
蠶	aqaj	1946164
朁	aqaj	37036
㔆	aqaj	5054
䫬	aqam	3395
兓	aqaq	40015
茋	aqay	29589
苑	aqb	85591529
茒	aqbj	23433
䒢	aqbj	4378
葾	aqbn	32568
蒭	aqbt	36242
芶	aqcu	217454
䔳	aqdo	4557
薝	aqdy	47661
萏	aqe	732790
蔛	aqef	22936
薢	aqeg	27802
葪	aqej	20156
菳	aqf	45178
蓟	aqg	3227058
茚	aqgb	292917
茑	aqgf	281002
荈	aqgj	64144
蔔	aqgl	468668
藓	aqgu	501435
㔰	aqhi	9770
荀	aqj	2383058
警	aqk	86584470
㢣	aqka	4061
葂	aqke	44285
茗	aqkf	12113882
苟	aqkf	3793035
蟼	aqkj	26015
憼	aqkn	64839
驚	aqko	25121411
莬	aqkq	29093
擎	aqkr	8767670
檠	aqks	247242
敬	aqkt	97904000
菟	aqky	1539058
䓒	aqlf	4021
藑	aqmt	24227
萯	aqmu	36639
苞	aqn	3028470
㤅	aqnu	4498
菊	aqo	30681882
薊	aqoj	1151811
蘇	aqot	21646117
蔦	aqou	969110
炁	aqou	172771
蘚	aqou	166814
䔡	aqou	4368
䲨	aqoy	3981
帶	aqph	77052235
䠠	aqph	11418
慸	aqpn	26610
遰	aqpp	62257
鴄	aqqo	25617
茤	aqqu	149934
䔙	aqqy	3743
葱	aqr	9929411
匢	aqre	62555
匫	aqrj	28894
䓤	aqrn	5222
芴	aqrr	172771
茐	aqry	30284
葡	aqs	5987435
萄	aqt	1310682
茆	aqtb	1022729
获	aqtd	148941176
䔆	aqtf	4895
蕕	aqtg	177736
莥	aqtg	28298
蕏	aqtj	144969
荻	aqto	3187341
䓄	aqtr	3812
莸	aqty	286960
芕	aqu	33760
兂	aqv	275044
旡	aqv	137025
芡	aqw	1052517
蕵	aqwv	27107
芍	aqy	3177411
匛	aqyi	53122
藰	aqyj	25816
蒥	aqyl	56299
区	ar	1717788235
芞	arb	614630
葼	arbt	22936
葩	arc	1181600
萚	arcg	57987
苽	arcy	216461
蓏	arcy	51037
菝	ard	175750
莃	ardh	73676
䔤	ardj	4428
蘤	areo	39618
苩	arf	78045
茊	arf	21348
瓯	arg	5342023
葟	argf	32469
蓵	argh	29192
茩	argk	173764
荴	argu	25121
䕫	arht	3902
㔸	arhw	7685
薬	aris	24823529
莏	arit	35845
葲	ariu	37136
芹	arj	5461176
䔶	arjh	4696
苅	arjj	477604
䔾	arjn	4309
匠	ark	10723764
䔱	arkb	4080
蘀	arlf	46866
菗	armf	69605
菦	arpu	38724
欧	arq	174757647
蒐	arqc	2571717
鸥	arqg	5798776
菢	arqn	129082
鴎	arqo	577891
鴱	arqo	27901
蔸	arqq	627538
菂	arqy	680164
䓆	arrj	3544
藠	arrr	100287
䒝	arru	3932
蔱	arsc	64839
䔌	arsg	4170
䓭	arsj	3654
蒱	arsu	52427
萆	art	190644
葀	artd	40313
艾	aru	90556235
菈	aruf	846978
蒑	arvc	24922
萔	arvk	19461
殴	arw	9770541
蓷	arwy	262136
藥	arxs	20355294
薂	aryt	19064
莆	as	2134823
藲	asak	22142
䕩	asdi	4001
茜	asf	17972235
䓩	asfc	3564
荰	asff	34256
蓕	asff	28199
䓰	asff	3743
蔈	asfi	24426
蒪	asfu	29887
薽	asfy	37930
䕯	asfy	3475
苯	asg	18369411
䔯	asgd	5262
䖆	asge	3793
莤	asgf	50143
蓜	asgn	443844
蘸	asgo	4220000
葙	ash	960174
䔠	asie	10028
蕈	asj	1370258
艼	asj	59179
菄	asjf	46866
苛	ask	3991623
莕	askf	92244
䓶	askj	3524
䔅	askk	4220
藾	askm	85790
藗	askp	22738
䔎	askp	3932
䔩	askt	3951
蔌	askw	166814
萰	aslf	28894
茦	asmb	25518
莿	asmj	573920
蕀	asmm	51831
